CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
12818	14012	25	0.8846	-0.440
1897	2689	25	0.8812	0.037
2689	8289	25	0.8897	1.040
7636	12921	25	0.9661	-0.000
7979	9642	25	0.9145	-391.265
3020	9642	25	0.9229	-391.243
2689	8308	25	0.9187	1.040
3362	7636	25	0.9145	0.587
3362	9481	25	0.9609	-0.000
9481	12299	25	0.9325	-0.429
2107	9642	25	0.9055	-194.167
880	6071	25	0.9233	-0.000
3020	13915	25	0.9873	-0.983
3020	7979	25	0.9873	0.021
1897	6991	25	0.9018	0.000
6991	7636	25	0.8954	-0.445
4704	13915	25	0.9732	-0.983
1897	12921	25	0.8933	-0.445
6071	12921	25	0.927	-0.445
5210	7979	25	0.9415	121.030
6071	6991	25	0.9305	0.000
6989	6991	25	0.9631	-0.036
6381	9642	25	0.9169	-391.207
880	2689	25	0.934	0.036
6381	7979	25	0.978	0.058
7979	13915	25	0.9695	-1.005
2689	6381	25	0.9338	0.947
1897	6989	25	0.9457	0.036
3020	4704	25	0.9814	0.000
9481	12818	25	0.9659	0.037
4704	8289	25	0.9305	0.057
880	7979	25	0.8933	1.041
5210	8431	25	0.9177	-14.052
6071	7636	25	0.8843	-0.445
2689	13915	25	0.9448	0.000
9642	13915	25	0.9197	390.260
9642	11618	25	0.9051	-2.014
3362	12818	25	0.9796	0.037
6071	6989	25	0.9441	0.036
2689	7979	25	0.9208	1.005
880	6381	25	0.9056	0.983
4704	6381	25	0.9797	-0.037
5210	6381	25	0.9186	120.972
4704	8308	25	0.9504	0.057
7979	8289	25	0.9383	0.035
6381	13915	25	0.9845	-0.947
6381	8289	25	0.9356	0.093
4704	7979	25	0.9741	0.021
5210	9642	25	0.8982	-270.235
880	6989	25	0.9075	0.036
3020	5210	25	0.931	-121.008
4076	13252	26	0.8988	0.034
4076	7019	26	0.9133	0.061
5825	7019	26	0.9224	-0.004
5825	13252	26	0.9187	-0.032
4076	7152	26	0.9357	-0.007
4076	11153	26	0.9015	0.056
5825	11153	26	0.9177	-0.010
7152	13252	26	0.9375	0.041
4076	5825	26	0.9014	0.065
7152	11153	26	0.9391	0.063
7019	13252	26	0.928	-0.027
11153	13252	26	0.931	-0.022
5825	7152	26	0.9346	-0.072
7019	11153	26	0.932	-0.005
7019	7152	26	0.9464	-0.068
164	616	27	0.9626	35.977
1425	2402	27	0.9519	0.000
5577	7041	27	0.9279	-18.010
5469	7085	27	0.9626	18.009
425	7085	27	0.9672	-17.027
1645	5590	27	0.9328	-0.000
21	1425	27	0.9804	-0.000
4180	4266	27	0.9234	290.202
425	1640	27	0.9679	-0.001
1640	2178	27	0.9468	18.010
1754	2402	27	0.9432	-14.015
2598	10279	27	0.9482	-28.032
44	164	27	0.9594	18.011
178	425	27	0.9768	18.011
1754	4823	27	0.9401	14.017
5472	7041	27	0.9574	35.038
4266	5472	27	0.9632	-17.027
10283	10337	27	0.9318	-17.026
1425	1557	27	0.9725	0.000
255	582	27	0.9801	0.000
410	1864	27	0.9518	-17.027
5590	7625	27	0.9228	-36.021
425	2178	27	0.9602	18.010
4823	5590	27	0.9308	-0.000
1694	11370	27	0.9405	-56.063
410	1640	27	0.9569	-18.011
616	3463	27	0.9505	-35.977
425	1864	27	0.9572	0.983
4823	7073	27	0.9434	-36.021
3661	6564	27	0.938	-28.031
582	12502	27	0.9773	-0.000
7579	7604	27	0.9284	61.992
1753	13990	27	0.9281	0.001
7073	12628	27	0.933	36.020
