	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family
7773	https://www.sinergiawolfender.org/jlw/V107874	Juglandaceae	Platycarya	Platycarya strobilacea	116.0	116.0	1026.0
7774	https://www.sinergiawolfender.org/jlw/V107875	Juglandaceae	Platycarya	Platycarya strobilacea	116.0	116.0	1026.0
7775	https://www.sinergiawolfender.org/jlw/V107876	Buxaceae	Sarcococca	Sarcococca ruscifolia	10.0	247.0	1029.0
7776	https://www.sinergiawolfender.org/jlw/V107877	Buxaceae	Sarcococca	Sarcococca ruscifolia	10.0	247.0	1029.0
7777	https://www.sinergiawolfender.org/jlw/V107878	Betulaceae	Carpinus	Carpinus fangiana	0.0	50.0	2308.0
7778	https://www.sinergiawolfender.org/jlw/V107879	Betulaceae	Carpinus	Carpinus fangiana	0.0	50.0	2308.0
7779	https://www.sinergiawolfender.org/jlw/V107880	Betulaceae	Carpinus	Carpinus fangiana	0.0	50.0	2308.0
7780	https://www.sinergiawolfender.org/jlw/V107881	Zosteraceae	Zostera	Zostera marina	14.0	16.0	18.0
7781	https://www.sinergiawolfender.org/jlw/V107882	Malvaceae	Firmiana	Firmiana simplex	34.0	43.0	3518.0
7782	https://www.sinergiawolfender.org/jlw/V107883	Malvaceae	Firmiana	Firmiana simplex	34.0	43.0	3518.0
7783	https://www.sinergiawolfender.org/jlw/V107884	Malvaceae	Firmiana	Firmiana simplex	34.0	43.0	3518.0
7784	https://www.sinergiawolfender.org/jlw/V107885	Malvaceae	Firmiana	Firmiana simplex	34.0	43.0	3518.0
7785	https://www.sinergiawolfender.org/jlw/V107886	Phyllanthaceae	Glochidion	Glochidion wilsonii	0.0	261.0	2089.0
7786	https://www.sinergiawolfender.org/jlw/V107887	Phyllanthaceae	Glochidion	Glochidion wilsonii	0.0	261.0	2089.0
7787	https://www.sinergiawolfender.org/jlw/V107888	Phyllanthaceae	Glochidion	Glochidion wilsonii	0.0	261.0	2089.0
