	pfcode	family_desc	genus_desc	species_desc	Reported_comp_Species	Reported_comp_Genus	Reported_comp_Family	LC
6425	https://www.sinergiawolfender.org/jlw/V106518	Fabaceae	Styphnolobium	Styphnolobium japonicum	301.0	301.0	59372.0	-0.36804000000000003
6426	https://www.sinergiawolfender.org/jlw/V106519	Fabaceae	Styphnolobium	Styphnolobium japonicum	301.0	301.0	59372.0	-0.36804000000000003
6427	https://www.sinergiawolfender.org/jlw/V106520	Zygophyllaceae	Tribulus	Tribulus terrestris	323.0	422.0	952.0	0.7772600000000001
6428	https://www.sinergiawolfender.org/jlw/V106521	Poaceae	Zea	Zea mays	702.0	702.0	4877.0	0.48125999999999997
6429	https://www.sinergiawolfender.org/jlw/V106522	Lamiaceae	Plectranthus	Plectranthus grandicalyx	0.0	810.0	45837.0	0.0022600000000000398
6430	https://www.sinergiawolfender.org/jlw/V106523	Lamiaceae	Plectranthus	Plectranthus grandicalyx	0.0	810.0	45837.0	0.0022600000000000398
6431	https://www.sinergiawolfender.org/jlw/V106524	Polemoniaceae	Polemonium	Polemonium chinense	0.0	16.0	49.0	0.99742
6432	https://www.sinergiawolfender.org/jlw/V106525	Polygonaceae	Persicaria	Persicaria humilis	0.0	1411.0	3695.0	0.785
6433	https://www.sinergiawolfender.org/jlw/V106526	Polygonaceae	Persicaria	Persicaria humilis	0.0	1411.0	3695.0	0.785
6434	https://www.sinergiawolfender.org/jlw/V106527	Polygonaceae	Persicaria	Persicaria humilis	0.0	1411.0	3695.0	0.785
6435	https://www.sinergiawolfender.org/jlw/V106528	Polygonaceae	Persicaria	Persicaria hydropiper	146.0	1411.0	3695.0	0.7120000000000001
6436	https://www.sinergiawolfender.org/jlw/V106529	Polygonaceae	Persicaria	Persicaria nodosa	45.0	1411.0	3695.0	0.7625000000000001
6437	https://www.sinergiawolfender.org/jlw/V106530	Polygonaceae	Persicaria	Persicaria nodosa	45.0	1411.0	3695.0	0.7625000000000001
6438	https://www.sinergiawolfender.org/jlw/V106531	Polygonaceae	Persicaria	Persicaria maculosa	17.0	1411.0	3695.0	0.7765000000000001
6439	https://www.sinergiawolfender.org/jlw/V106532	Polygonaceae	Persicaria	Persicaria maculosa	17.0	1411.0	3695.0	0.7765000000000001
6440	https://www.sinergiawolfender.org/jlw/V106533	Polygonaceae	Reynoutria	Reynoutria japonica	104.0	104.0	3695.0	0.8637
6441	https://www.sinergiawolfender.org/jlw/V106534	Polygonaceae	Persicaria	Persicaria thunbergii	2.0	1411.0	3695.0	0.784
6442	https://www.sinergiawolfender.org/jlw/V106535	Polygonaceae	Koenigia	Koenigia tripterocarpa	0.0	52.0	3695.0	0.9209
6443	https://www.sinergiawolfender.org/jlw/V106536	Salicaceae	Populus	Populus amurensis	0.0	993.0	2946.0	0.8417800000000001
6444	https://www.sinergiawolfender.org/jlw/V106537	Salicaceae	Populus	Populus amurensis	0.0	993.0	2946.0	0.8417800000000001
6445	https://www.sinergiawolfender.org/jlw/V106538	Salicaceae	Populus	Populus amurensis	0.0	993.0	2946.0	0.8417800000000001
6446	https://www.sinergiawolfender.org/jlw/V106539	Rosaceae	Potentilla	Potentilla supina	0.0	183.0	10608.0	0.76954
6447	https://www.sinergiawolfender.org/jlw/V106540	Rosaceae	Potentilla	Potentilla flagellaris	0.0	183.0	10608.0	0.76954
6448	https://www.sinergiawolfender.org/jlw/V106541	Dennstaedtiaceae	Pteridium	Pteridium aquilinum	204.0	253.0	378.0	0.86514
6449	https://www.sinergiawolfender.org/jlw/V106542	Dennstaedtiaceae	Pteridium	Pteridium aquilinum	204.0	253.0	378.0	0.86514
6450	https://www.sinergiawolfender.org/jlw/V106543	Ranunculaceae	Ranunculus	Ranunculus chinensis	5.0	238.0	13322.0	0.70726
6451	https://www.sinergiawolfender.org/jlw/V106544	Ranunculaceae	Ranunculus	Ranunculus rigescens	0.0	238.0	13322.0	0.70976
6452	https://www.sinergiawolfender.org/jlw/V106545	Ranunculaceae	Ranunculus	Ranunculus rigescens	0.0	238.0	13322.0	0.70976
6453	https://www.sinergiawolfender.org/jlw/V106546	Brassicaceae	Raphanus	Raphanus sativus	260.0	283.0	5419.0	0.73332
6454	https://www.sinergiawolfender.org/jlw/V106547	Brassicaceae	Raphanus	Raphanus sativus	260.0	283.0	5419.0	0.73332
6455	https://www.sinergiawolfender.org/jlw/V106548	Brassicaceae	Rorippa	Rorippa palustris	0.0	44.0	5419.0	0.88722
6456	https://www.sinergiawolfender.org/jlw/V106549	Polygonaceae	Rumex	Rumex crispus	19.0	396.0	3695.0	0.8770000000000001
6457	https://www.sinergiawolfender.org/jlw/V106550	Polygonaceae	Rumex	Rumex crispus	19.0	396.0	3695.0	0.8770000000000001
6458	https://www.sinergiawolfender.org/jlw/V106551	Polygonaceae	Rumex	Rumex patientia	43.0	396.0	3695.0	0.8650000000000001
6459	https://www.sinergiawolfender.org/jlw/V106552	Polygonaceae	Rumex	Rumex patientia	43.0	396.0	3695.0	0.8650000000000001
6460	https://www.sinergiawolfender.org/jlw/V106553	Alismataceae	Sagittaria	Sagittaria trifolia	65.0	117.0	623.0	0.94334
6461	https://www.sinergiawolfender.org/jlw/V106554	Alismataceae	Sagittaria	Sagittaria trifolia	65.0	117.0	623.0	0.94334
6462	https://www.sinergiawolfender.org/jlw/V106555	Salicaceae	Salix	Salix babylonica	40.0	909.0	2946.0	0.83018
6463	https://www.sinergiawolfender.org/jlw/V106556	Rosaceae	Sanguisorba	Sanguisorba tenuifolia	23.0	267.0	10608.0	0.74964
6464	https://www.sinergiawolfender.org/jlw/V106557	Rosaceae	Sanguisorba	Sanguisorba tenuifolia	23.0	267.0	10608.0	0.74964
6465	https://www.sinergiawolfender.org/jlw/V106558	Cyperaceae	Schoenoplectus	Schoenoplectus litoralis	0.0	22.0	1728.0	0.96324
6466	https://www.sinergiawolfender.org/jlw/V106559	Cyperaceae	Schoenoplectus	Schoenoplectus litoralis	0.0	22.0	1728.0	0.96324
6467	https://www.sinergiawolfender.org/jlw/V106560	Cyperaceae	Schoenoplectus	Schoenoplectus litoralis	0.0	22.0	1728.0	0.96324
6468	https://www.sinergiawolfender.org/jlw/V106561	Asteraceae	Scorzonera	Scorzonera albicaulis	0.0	262.0	96094.0	-0.94808
6469	https://www.sinergiawolfender.org/jlw/V106562	Lamiaceae	Scutellaria	Scutellaria regeliana	0.0	1846.0	45837.0	-0.10133999999999999
6470	https://www.sinergiawolfender.org/jlw/V106563	Lamiaceae	Scutellaria	Scutellaria scordifolia	1.0	1846.0	45837.0	-0.10183999999999993
6471	https://www.sinergiawolfender.org/jlw/V106564	Crassulaceae	Phedimus	Phedimus aizoon	18.0	112.0	3218.0	0.91544
6472	https://www.sinergiawolfender.org/jlw/V106565	Poaceae	Setaria	Setaria faberi	0.0	101.0	4877.0	0.89236
6473	https://www.sinergiawolfender.org/jlw/V106566	Poaceae	Setaria	Setaria faberi	0.0	101.0	4877.0	0.89236
6474	https://www.sinergiawolfender.org/jlw/V106567	Caryophyllaceae	Silene	Silene jenisseensis	3.0	652.0	2027.0	0.89276
6475	https://www.sinergiawolfender.org/jlw/V106568	Apiaceae	Sium	Sium suave	4.0	19.0	14930.0	0.6975
6476	https://www.sinergiawolfender.org/jlw/V106569	Apiaceae	Sium	Sium suave	4.0	19.0	14930.0	0.6975
6477	https://www.sinergiawolfender.org/jlw/V106570	Apiaceae	Sium	Sium suave	4.0	19.0	14930.0	0.6975
6478	https://www.sinergiawolfender.org/jlw/V106571	Solanaceae	Solanum	Solanum nigrum	186.0	4766.0	13616.0	0.15808
6479	https://www.sinergiawolfender.org/jlw/V106572	Solanaceae	Solanum	Solanum nigrum	186.0	4766.0	13616.0	0.15808
6480	https://www.sinergiawolfender.org/jlw/V106573	Solanaceae	Solanum	Solanum nigrum	186.0	4766.0	13616.0	0.15808
6481	https://www.sinergiawolfender.org/jlw/V106574	Solanaceae	Solanum	Solanum melongena	194.0	4766.0	13616.0	0.15408
6482	https://www.sinergiawolfender.org/jlw/V106575	Solanaceae	Solanum	Solanum tuberosum	454.0	4766.0	13616.0	0.02407999999999999
6483	https://www.sinergiawolfender.org/jlw/V106576	Solanaceae	Solanum	Solanum tuberosum	454.0	4766.0	13616.0	0.02407999999999999
6484	https://www.sinergiawolfender.org/jlw/V106577	Poaceae	Sorghum	Sorghum halepense	8.0	157.0	4877.0	0.88276
6485	https://www.sinergiawolfender.org/jlw/V106578	Poaceae	Sorghum	Sorghum halepense	8.0	157.0	4877.0	0.88276
6486	https://www.sinergiawolfender.org/jlw/V106579	Poaceae	Sorghum	Sorghum halepense	8.0	157.0	4877.0	0.88276
